"Students Sets","Subject","Teachers","Activity Tags","Total Duration","Split Duration","Min Days","Weight","Consecutive"
"MAM-I","MA404","Arun Kumar","Lecture",4,"",1,,
"MAM-I","MA404","Arun Kumar","Tutorial",1,"",1,,
"MAM-I","MA406","Pratiksha Saxena","Lecture",5,"",1,,
"MAM-I","MA408","Sushil Kumar","Lecture",3,"",1,,
"MAM-I","MA408","Sushil Kumar","Tutorial",1,"",1,,
"MAM-I","MA410","Fahed Zulfeqarr","Lecture",3,"",1,,
"MAM-I","MA410","Fahed Zulfeqarr","Tutorial",1,"",1,,
"MAM-I","MA412","Arun Kumar","Lecture",4,"",1,,
"MAM-I","MA412","Arun Kumar","Tutorial",1,"",1,,
"MAM-II","MA558","Arun Kumar","Lecture",3,"",1,,
"MAM-II","MA564","Dipti Singh","Lecture",3,"",1,,
"MAM-II","MA508","Arun Kumar","Lecture",3,"",1,,
"MAM-II","MA508","Arun Kumar","Tutorial",1,"",1,,
"BSC-I-A","MA116","Fahed Zulfeqarr","Lecture",5,"",1,,
"BSC-I-A","MA116","Fahed Zulfeqarr","Tutorial",1,"",1,,
"BSC-II-A","MA212","Amit Ujlayan","Lecture",4,"",1,,
"BSC-II-A","MA212L","Amit Ujlayan","Lab",4,"2",1,,
"BSC-III","MA301","Dipti Singh","Lecture",4,"",1,,
"BSC-III","MA301L","Dipti Singh","Lab",2,"2",1,,
"BSC-II-A","MA222","Amit K Awasthi","Lab",4,"2",1,,
"BSC-II-B","MA212","Amit Ujlayan","Lecture",4,"",1,,
"BSC-II-B","MA212L","Sushil Kumar","Lab",4,"2",1,,
"BSC-II-B","MA212L","Pratiksha Saxena","Lab",4,"2",1,,
"BSC-II-B","MA222","Amit K Awasthi","Lab",4,"2",1,,
"BSC-III","MA322","Amit K Awasthi","Lab",4,"2",1,,
"BT-I","MA104","Artii Malik","Lecture",3,"",1,,
"BT-I","MA104","Artii Malik","Tutorial",1,"",1,,
"FT-I","MA102","Manish Raghav","Lecture",3,"",1,,
"FT-IV","MA415","Amit K Awasthi","Lecture",3,"",1,,
"CE-I","MA102","Manish Raghav","Lecture",3,"",1,,
"CE-II","MA202","Sudhir Kumar Yadav","Lecture",3,"",1,,
"CE-II","MA202","Sudhir Kumar Yadav","Tutorial",1,"",1,,
"EE-I","MA102","Archana Sharma","Lecture",3,"",1,,
"EE-II","MA202","Kunwar Pal Singh","Lecture",3,"",1,,
"EE-II","MA202","Kunwar Pal Singh","Tutorial",1,"",1,,
"ME-I","MA102","Archana Sharma","Lecture",3,"",1,,
"ME-II","MA202","Sushil Kumar","Lecture",3,"",1,,
"ME-II","MA202","Sushil Kumar","Tutorial",1,"",1,,
"CS-I","MA102","Sudhir Kumar Yadav","Lecture",3,"",1,,
"CS-II-B","MA202","Artii Malik","Lecture",3,"",1,,
"CS-II-B","MA202","Artii Malik","Tutorial",1,"",1,,
"CS-II-A","MA202","Artii Malik","Lecture",3,"",1,,
"CS-II-A","MA202","Artii Malik","Tutorial",1,"",1,,
"EC-I","MA102","Sudhir Kumar Yadav","Lecture",3,"",1,,
"EC-II","MA202","Archana Sharma","Lecture",3,"",1,,
"EC-II","MA202","Archana Sharma","Tutorial",1,"",1,,
"IT-I","MA102","Manish Raghav","Lecture",3,"",1,,
"CS-IV","MA402","Kunwar Pal Singh","Lecture",3,"",1,,
"EC-IV","MA402","Kunwar Pal Singh","Lecture",3,"",1,,
"EE-IV (PED)","MA402","Pratiksha Saxena","Lecture",3,"",1,,