"Room","Room Capacity","Building"
"VL201","60","SOVSAS"
"VL202","60","SOVSAS"
"VL203","60","SOVSAS"
"VL204","60","SOVSAS"
"VT201","60","SOVSAS"
"VT202","60","SOVSAS"
"VT203","60","SOVSAS"
"VT204","60","SOVSAS"
"LH107","30","SOM"
"BTLab1","60","SOBT"
"BT201","60","SOBT"
"BTLab2","60","SOBT"
"Workshop","30","SOE"
"CPLabI","60","SOICT"
"BTLab3","60","SOBT"
"BT204","60","SOBT"
"ET101","60","SOE"
"ELecLab","60","SOE"
"IP101","60","SOICT"
"CHLab","60","SOVSAS"
"IP104","60","SOICT"
"IL202","60","SOICT"
"IP113","60","SOICT"
"IP106","60","SOICT"
"IL102","60","SOICT"
"IP103","60","SOICT"
"IL101","60","SOICT"
"IP102","60","SOICT"
"IL204","60","SOICT"
"IP108","60","SOICT"
"IP109","60","SOICT"
"IL203","60","SOICT"
"EL201","60","SOE"
"IL205","60","SOICT"
"IL206","60","SOICT"
"IP105","30","SOICT"
"LL101","60","SOICT"
"LL102","60","SOICT"
"IP107","60","SOICT"
"IP110","60","SOICT"
"BL207-DELETED","60","SOBT"
"IL201","60","SOICT"
"IL200","60","SOICT"
"EL203","60","SOE"
"EL104","60","SOE"
"BT203","60","SOBT"
"EL101","60","SOE"
"DELLH109","60","SOM"
"LH206","60","SOBSC"
"LH205","60","SOBSC"
"EP101","30","SOE"
"EP105","30","SOE"
"EL103","60","SOE"
"VP201","60","SOVSAS"
"BP112","30","SOBT"
"EP203","30","SOE"
"EP106","30","SOE"
"EP202","30","SOE"
"ET102","30","SOE"
"ET103","30","SOE"
"Outdoor","60","SOE"
"EL204","60","SOE"
"WorkshopCivil","30","SOE"
"EP201","30","SOE"
"EP102","60","SOE"
"V225","10","SOVSAS"
"EL102","60","SOE"
"FMLab","30","SOE"
"MV","30","SOE"
"RnC Lab","30","SOE"
"AUTO Lab","30","SOE"
"EL202","60","SOE"
"IP111","30","SOICT"
"IT201","30","SOICT"
"BL201","60","SOBT"
"BL202","60","SOBT"
"BL203","60","SOBT"
"BL204","60","SOBT"
"BL205","60","SOBT"
"BL206","60","SOBT"
"BL207","60","SOBT"
"VP102","30","SOVSAS"
"VP110","30","SOVSAS"
"BT202","30","SOBT"
"LL103","60","SOBSC"
"LL104","60","SOBSC"
"IT202","60","SOICT"
"IT203","60","SOICT"
"IT204","60","SOICT"
"EP103","60","SOE"
"LH110","60","SOM"
"LH103","60","SOM"
"LH102","60","SOM"
"LH104","60","SOM"
"LH101","60","SOM"
"LH108","60","SOM"
"VP101","30","SOVSAS"
"VP103","30","SOVSAS"
"LL105","30","SOICT"
"BP105","30","SOBT"
"BP106","30","SOBT"
"BP107","30","SOBT"
"BP108","30","SOBT"
"BP202","30","SOBT"
"LL106","30","SOICT"
"MTLab","30","SOE"
"HMTLab","30","SOE"
"ATLab","30","SOE"
"LH204","30","SOM"
"CELab","30","SOE"
"BDLab","30","SOE"
"BP203","30","SOBT"
"LH105","60","SOM"
"DEL-LH107","60","SOM"
"VP202","30","SOVSAS"
"VL205","60","SOVSAS"
"BT112","30","SOBT"
"LL107","60","SOLJ"
"V201","10","SOVSAS"
"AL202","60","SOE"
"LH106","60","SOM"
"EP104","30","SOE"
"INSLab","30","SOE"
"DOMElab","30","SOE"
"Automobile lab","30","SOE"
"AL201","60","SOE"
"AL203","60","SOE"
"ENV Lab","30","SOE"
"Surveying Lab","30","SOE"
"CADLab","30","SOE"
"Concrete Lab","30","SOE"
"Applied Thermodynamics Lab","30","SOE"
"Remote Sensing and  GIS Laboratory","30","SOE"
"SH02","45","SOHSS"
"VP104","45","SOVSAS"
"VP105","45","SOVSAS"
"VP106","30","SOVSAS"
"AL205","60","SOE"
"Civil CAD Lab","30","SOE"
"AT201","30","SOE"
"AL204","60","SOE"
"VP112","60","SOVSAS"
"AR1","60","SOE"
"AR2","60","SOE"
"AR3","60","SOE"
"zSoil Mechanics Lab","30","SOE"
"Structural analysis lab","30","SOE"
"AR4","60","SOE"
"AR5","60","SOE"
"AR6","60","SOE"
"LH109","60","SOBSC"
"SH01","30","SOHSS"
"230","60","SOHSS"
"133","60","SOHSS"
"106","60","SOHSS"
"121","60","SOHSS"
"201","60","SOHSS"
"207","60","SOHSS"
"204","60","SOHSS"
"129","60","SOHSS"
"127","60","SOHSS"
"202","60","SOHSS"
"210","60","SOHSS"
"LH202","60","SOM"
"Hydraulic lab","30","SOE"
"Chamber","30","SOE"
"A 202","60","SOE"
"Conference room","30","SOE"
"A203","60","SOE"
"VL206","60","SOVSAS"
"T204","30","SOM"
"VP107","30","SOVSAS"
"VP108","30","SOVSAS"
"VP113","30","SOVSAS"
"T203","30","SOHSS"
"126","15","SOHSS"
"VP111","30","SOVSAS"
"AP101","30","SOE"
"VP115","30","SOVSAS"
"EW106","30","SOE"